source_report,stock_id,stock_name,event_date,event_kind,pre_event_close,reference_price,opening_reference_price,ex_right_reference_price,rights_value,cash_value,combined_value,upper_limit,lower_limit,reduction_reason,detail_key,adjustment_factor,raw_path,raw_sha256,mops_match_status,mops_candidate_count,mops_match_method,mops_distribution_year_roc,mops_cash_per_old_share,mops_stock_dividend_value_per_old_share,mops_free_share_multiplier,mops_reference_error,subscription_match_status,subscription_pair_candidates,official_subscription_rate,official_subscription_price,official_shareholder_allocation_fraction,official_paid_dilution_rate,subscription_reference_error,subscription_rate_announcement_date,subscription_price_announcement_date,subscription_record_date,subscription_payment_start,subscription_payment_end,capital_increase_effective_date,new_share_delivery_date,subscription_settlement_match_status,ledger_status,ledger_block_reason,cash_per_old_share,share_multiplier,capital_contribution_per_old_share,economic_value_continuity_error,ledger_terms_source,total_return_eligible,share_semantics,trade_date,previous_trade_date,previous_close,open,close,change_pct,calendar_gap_days,open_gap,close_return,implied_official_reference_price,reference_reset_return,market_return_from_reference,effective_date_lag_days,has_price_on_effective_date,official_pre_close_matches
TWT49U,6280,崇貿,2005-01-11,ex_right,33.0,27.48,27.5,27.48,5.52,0.0,5.52,29.4,25.6,,"6280,20050111",0.8327272727272728,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200501.json.gz,F64A08AD4264500364BEC83F316D8BD703DECCA1910F0CCCBC21CC651D7CD2CB,stock_not_found,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,blocked,official_free_share_terms_missing,,,,,,False,actual_shares,2005-01-11,2005-01-10,33.0,28.5,28.3,0.0,1.0,-0.13636363636363635,-0.14242424242424245,28.3,-0.14242424242424245,0.0,0.0,True,True
TWT49U,2023,燁輝,2005-01-18,ex_right,23.3,23.19,23.3,23.3,0.11,0.0,0.11,24.9,21.6,,"2023,20050118",0.9952789699570815,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200501.json.gz,F64A08AD4264500364BEC83F316D8BD703DECCA1910F0CCCBC21CC651D7CD2CB,matched_unique,1,unique_stock_terms_in_decision_year,94.0,1.0,0.5,1.05,1.109523809523811,rate_price_or_allocation_not_found_before_event,0,,,,,,,,,,,,,not_applicable,blocked,paid_subscription_terms_missing,,,,,,False,actual_shares,2005-01-18,2005-01-17,23.3,23.3,23.1,0.0,1.0,0.0,-0.008583690987124415,23.1,-0.008583690987124415,0.0,0.0,True,True
TWT49U,2888,新光金,2005-01-24,ex_right,31.0,30.54,31.0,31.0,0.46,0.0,0.46,33.1,28.5,,"2888,20050124",0.9851612903225806,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200501.json.gz,F64A08AD4264500364BEC83F316D8BD703DECCA1910F0CCCBC21CC651D7CD2CB,stock_not_found,0,,,,,,,announcement_facts_not_found,0,,,,,,,,,,,,,not_applicable,blocked,paid_subscription_terms_missing,,,,,,False,actual_shares,2005-01-24,2005-01-21,31.0,30.8,29.7,0.0,3.0,-0.006451612903225823,-0.041935483870967794,29.7,-0.041935483870967794,0.0,0.0,True,True
TWT49U,2825,中央保,2005-01-25,ex_right,11.8,11.13,11.15,11.13,0.67,0.0,0.67,11.9,10.4,,"2825,20050125",0.9432203389830509,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200501.json.gz,F64A08AD4264500364BEC83F316D8BD703DECCA1910F0CCCBC21CC651D7CD2CB,stock_not_found,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,blocked,official_free_share_terms_missing,,,,,,False,actual_shares,2005-01-25,2005-01-24,11.8,11.2,11.25,0.0,1.0,-0.05084745762711873,-0.04661016949152552,11.25,-0.04661016949152552,0.0,0.0,True,True
TWT49U,2388,威盛,2005-02-14,ex_right,16.0,15.22,15.2,15.22,0.78,0.0,0.78,16.2,14.2,,"2388,20050214",0.95125,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200502.json.gz,CA47E228AE4DAED191ED99F9F8C0528E936F9AFAAD3EAB5D7BFCAE780D4EE070,year_or_stock_terms_not_found,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,blocked,official_free_share_terms_missing,,,,,,False,actual_shares,2005-02-14,2005-02-03,16.0,15.7,16.2,0.0,11.0,-0.018750000000000044,0.012499999999999956,16.2,0.012499999999999956,0.0,0.0,True,True
TWT49U,2838,聯邦銀,2005-02-15,ex_right,12.45,12.04,12.45,12.45,0.41,0.0,0.41,13.3,11.2,,"2838,20050215",0.9670682730923694,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200502.json.gz,CA47E228AE4DAED191ED99F9F8C0528E936F9AFAAD3EAB5D7BFCAE780D4EE070,year_or_stock_terms_not_found,0,,,,,,,matched_unique,1,0.15813,10.0,0.8,0.1976625,0.005651425171949498,2005-01-19,2004-12-22,2005-02-21,,,,,settlement_dates_missing,blocked,paid_subscription_settlement_timing_missing,,,,,,False,actual_shares,2005-02-15,2005-02-14,12.45,11.9,11.95,0.0,1.0,-0.04417670682730912,-0.04016064257028118,11.95,-0.04016064257028118,0.0,0.0,True,True
TWT49U,2847,大眾銀,2005-02-15,ex_right,11.3,11.06,11.3,11.3,0.24,0.0,0.24,12.05,10.3,,"2847,20050215",0.9787610619469026,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200502.json.gz,CA47E228AE4DAED191ED99F9F8C0528E936F9AFAAD3EAB5D7BFCAE780D4EE070,stock_not_found,0,,,,,,,announcement_facts_not_found,0,,,,,,,,,,,,,not_applicable,blocked,paid_subscription_terms_missing,,,,,,False,actual_shares,2005-02-15,2005-02-14,11.3,11.2,11.1,0.0,1.0,-0.008849557522124019,-0.017699115044247926,11.1,-0.017699115044247926,0.0,0.0,True,True
TWT49U,2847B,眾乙特,2005-02-15,ex_right,11.5,11.32,11.5,11.5,0.18,0.0,0.18,12.3,10.55,,"2847B,20050215",0.9843478260869566,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200502.json.gz,CA47E228AE4DAED191ED99F9F8C0528E936F9AFAAD3EAB5D7BFCAE780D4EE070,stock_not_found,0,,,,,,,announcement_facts_not_found,0,,,,,,,,,,,,,not_applicable,blocked,paid_subscription_terms_missing,,,,,,False,actual_shares,2005-02-15,2005-02-14,11.5,11.5,11.5,0.0,1.0,0.0,0.0,11.5,0.0,0.0,0.0,True,True
TWT49U,1227,佳格,2005-02-17,ex_dividend,13.5,12.6,12.6,12.6,0.0,0.9,0.9,13.45,11.75,,"1227,20050217",0.9333333333333333,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200502.json.gz,CA47E228AE4DAED191ED99F9F8C0528E936F9AFAAD3EAB5D7BFCAE780D4EE070,not_applicable,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,executable,,0.9,1.0,0.0,0.0,twse_twt49u_declared_cash,True,actual_shares,2005-02-17,2005-02-16,13.5,12.55,12.0,0.0,1.0,-0.0703703703703703,-0.11111111111111116,12.0,-0.11111111111111116,0.0,0.0,True,True
TWT49U,9105,泰金寶-DR,2005-03-01,ex_dividend,41.9,40.67,40.65,40.67,0.0,1.23,1.23,43.5,37.85,,"9105,20050301",0.9706443914081146,data/raw/twse/corporate_actions/ex_right_dividend/2005/TWT49U_200503.json.gz,3DDA08E5D0640CD0B8EBF16CBE57C3D81F338BAA113AF11B049E62658FFB6206,not_applicable,0,,,,,,,not_applicable,0,,,,,,,,,,,,,not_applicable,executable,,1.23,1.0,0.0,0.0,twse_twt49u_declared_cash,True,actual_shares,2005-03-01,2005-02-25,41.9,40.0,39.0,0.0,4.0,-0.04534606205250591,-0.06921241050119331,39.0,-0.06921241050119331,0.0,0.0,True,True
