stock_id,trade_date,open,close,change_pct,previous_trade_date,previous_close,calendar_gap_days,close_return,open_gap,implied_official_reference_price,reference_reset_return,market_return_from_reference,observation_number,official_event_date,event_kinds,source_reports,official_pre_close,official_reference_price,official_adjustment_factor,event_ledger_eligible,event_ledger_block_reasons,classification,asset_type,listing_date,total_return_eligible,official_pre_close_matches
0080,2012-03-29,361.0,450.0,21.6545,2012-03-28,369.9,1.0,0.2165450121654502,-0.024060556907272157,369.900003699,1.0000000161269895e-08,0.216545,613,,,,,,,,,excluded_non_common_security,non_company_security,,False,
01005T,2012-03-01,13.87,13.87,0.0,2012-02-29,22.2,1.0,-0.3752252252252253,-0.3752252252252253,13.87,-0.3752252252252253,0.0,1375,2012-03-01,ex_dividend,TWT49U,22.2,12.97,0.5842342342342343,True,,matched_corporate_action,non_company_security,,True,True
1204,2005-05-13,6.2,5.79,0.0,2005-04-08,3.41,35.0,0.6979472140762464,0.8181818181818181,5.79,0.6979472140762464,0.0,62,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
1204,2005-08-03,2.78,2.78,0.0,2005-07-21,3.96,13.0,-0.297979797979798,-0.297979797979798,2.78,-0.297979797979798,0.0,111,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
1204,2005-08-26,1.49,1.49,0.0,2005-08-16,1.96,10.0,-0.23979591836734693,-0.23979591836734693,1.49,-0.23979591836734693,0.0,117,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
1207,2006-12-08,3.72,3.72,0.0,2006-11-20,2.21,18.0,0.6832579185520362,0.6832579185520362,3.72,0.6832579185520362,0.0,466,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
1210,2014-08-28,28.5,29.45,0.0,2014-08-27,36.85,1.0,-0.20081411126187254,-0.22659430122116697,29.45,-0.20081411126187254,0.0,2382,2014-08-28,ex_right_dividend,TWT49U,36.85,27.57,0.748168249660787,True,,matched_corporate_action,common_stock,1978-05-20,True,True
1213,2006-09-19,12.1,11.5,0.0,2006-09-18,14.4,1.0,-0.20138888888888895,-0.15972222222222232,11.5,-0.20138888888888895,0.0,377,2006-09-19,ex_right,TWT49U,14.4,12.0,0.8333333333333333,True,,matched_corporate_action,common_stock,1981-04-10,True,True
1227,2012-07-17,71.0,72.7,0.0,2012-07-16,91.0,1.0,-0.20109890109890105,-0.21978021978021978,72.7,-0.20109890109890105,0.0,1862,2012-07-17,ex_right_dividend,TWT49U,91.0,71.45,0.7851648351648352,True,,matched_corporate_action,common_stock,1994-04-09,True,True
1306,2005-08-24,2.03,2.03,0.0,2005-08-12,2.69,12.0,-0.24535315985130113,-0.24535315985130113,2.03,-0.24535315985130113,0.0,144,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,,False,
1312A,2010-07-14,20.75,20.75,0.0,2010-07-13,27.9,1.0,-0.2562724014336917,-0.2562724014336917,20.75,-0.2562724014336917,0.0,1135,2010-07-14,ex_dividend,TWT49U,27.9,22.3,0.7992831541218639,True,,matched_corporate_action,non_company_security,,True,True
1316,2005-12-26,3.35,3.35,0.0,2005-11-22,1.57,34.0,1.1337579617834397,1.1337579617834397,3.35,1.1337579617834397,0.0,220,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1992-10-15,False,
1413,2009-12-15,5.25,5.25,0.0,2009-11-25,2.95,20.0,0.7796610169491525,0.7796610169491525,5.25,0.7796610169491525,0.0,1209,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1975-12-23,False,
1413,2014-11-28,5.27,5.46,0.0,2014-11-13,3.4,15.0,0.6058823529411765,0.5499999999999998,5.46,0.6058823529411765,0.0,2422,2014-11-28,capital_reduction,TWTAUU,3.4,5.66,1.6647058823529413,False,capital_reduction_actual_share_ratio_missing,matched_corporate_action,common_stock,1975-12-23,False,True
1416,2010-10-14,13.95,13.95,0.0,2010-09-27,9.16,17.0,0.5229257641921397,0.5229257641921397,13.95,0.5229257641921397,0.0,1416,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1976-04-20,False,
1418,2008-11-17,2.27,2.27,0.0,2008-10-29,1.22,19.0,0.860655737704918,0.860655737704918,2.27,0.860655737704918,0.0,942,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1977-02-14,False,
1432,2005-10-05,3.9,3.9,0.0,2005-09-15,6.42,20.0,-0.39252336448598135,-0.39252336448598135,3.9,-0.39252336448598135,0.0,62,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1982-07-26,False,
1432,2005-11-17,1.36,1.36,0.0,2005-10-05,3.9,43.0,-0.6512820512820512,-0.6512820512820512,1.36,-0.6512820512820512,0.0,63,,,,,,,,,official_reference_reset_unresolved_cause,common_stock,1982-07-26,False,
